datum,Predsolski,Osnovnosolci,Srednjesolci,Studentje,Odrasli(M),Odrasli(Z),Upokojenci(M),Upokojenci(Z)
30. 05. 2014,0.0,0.0,0.0,2.0,9.0,8.0,5.0,6.0
31. 05. 2014,0.0,4.0,0.0,7.0,11.0,11.0,9.0,8.0
01. 06. 2014,0.0,2.0,1.0,3.0,21.0,19.0,14.0,14.0
03. 06. 2014,0.0,0.0,3.0,0.0,9.0,11.0,5.0,6.0
04. 06. 2014,0.0,1.0,0.0,1.0,5.0,7.0,4.0,7.0
05. 06. 2014,0.0,0.0,0.0,5.0,6.0,12.0,8.0,9.0
06. 06. 2014,0.0,0.0,0.0,2.0,7.0,4.0,6.0,3.0
07. 06. 2014,0.0,1.0,1.0,4.0,6.0,12.0,4.0,5.0
08. 06. 2014,0.0,0.0,1.0,5.0,6.0,5.0,6.0,4.0
10. 06. 2014,0.0,1.0,0.0,4.0,10.0,12.0,9.0,6.0
11. 06. 2014,0.0,1.0,3.0,2.0,6.0,6.0,1.0,5.0
12. 06. 2014,0.0,1.0,0.0,3.0,3.0,2.0,10.0,10.0
13. 06. 2014,0.0,0.0,1.0,0.0,3.0,4.0,7.0,10.0
14. 06. 2014,0.0,1.0,1.0,5.0,8.0,8.0,3.0,3.0
15. 06. 2014,1.0,1.0,0.0,8.0,4.0,4.0,4.0,5.0
16. 06. 2014,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
17. 06. 2014,0.0,0.0,1.0,4.0,6.0,3.0,4.0,6.0
18. 06. 2014,0.0,0.0,1.0,6.0,2.0,5.0,1.0,2.0
19. 06. 2014,1.0,0.0,1.0,2.0,13.0,14.0,0.0,1.0
20. 06. 2014,0.0,0.0,0.0,5.0,4.0,6.0,5.0,10.0
22. 06. 2014,0.0,0.0,1.0,8.0,7.0,8.0,3.0,7.0
24. 06. 2014,0.0,0.0,2.0,0.0,13.0,11.0,8.0,5.0
25. 06. 2014,0.0,0.0,2.0,4.0,13.0,15.0,7.0,7.0
26. 06. 2014,0.0,1.0,0.0,1.0,8.0,9.0,3.0,7.0
27. 06. 2014,0.0,0.0,0.0,7.0,5.0,5.0,0.0,1.0
28. 06. 2014,0.0,0.0,0.0,3.0,5.0,5.0,0.0,2.0
29. 06. 2014,0.0,0.0,4.0,1.0,7.0,7.0,4.0,3.0
01. 07. 2014,1.0,3.0,0.0,0.0,4.0,2.0,7.0,10.0
02. 07. 2014,0.0,4.0,1.0,2.0,8.0,6.0,2.0,4.0
03. 07. 2014,0.0,1.0,0.0,1.0,8.0,12.0,5.0,7.0
04. 07. 2014,1.0,1.0,0.0,6.0,10.0,8.0,4.0,4.0
05. 07. 2014,0.0,0.0,0.0,3.0,10.0,11.0,4.0,5.0
06. 07. 2014,0.0,1.0,0.0,4.0,10.0,12.0,4.0,9.0
08. 07. 2014,0.0,1.0,0.0,3.0,8.0,8.0,7.0,6.0
09. 07. 2014,2.0,0.0,0.0,4.0,9.0,13.0,2.0,7.0
10. 07. 2014,0.0,1.0,25.0,23.0,15.0,14.0,3.0,5.0
11. 07. 2014,0.0,2.0,1.0,3.0,4.0,6.0,3.0,5.0
12. 07. 2014,1.0,1.0,0.0,3.0,8.0,8.0,1.0,3.0
13. 07. 2014,0.0,2.0,0.0,4.0,16.0,21.0,12.0,18.0
15. 07. 2014,0.0,0.0,0.0,4.0,6.0,9.0,2.0,2.0
