datum,predsolski,osnovnosolski,srednjesolci,studentje,odrasli_m,odrasli_z,upokojenci_m,upokojenci_z,skupaj
4/5/2011,0,0,0,4,2,0,2,2,10
4/7/2011,0,0,0,0,1,0,0,1,2
4/12/2011,0,0,2,3,1,0,2,1,9
4/13/2011,0,0,0,1,3,2,0,0,6
4/15/2011,0,0,0,1,1,1,0,0,3
4/16/2011,0,0,0,2,2,2,0,0,6
4/17/2011,0,0,0,0,1,1,0,0,2
4/19/2011,0,0,0,2,0,0,0,0,2
4/20/2011,0,0,0,0,0,1,0,0,1
4/21/2011,0,0,0,0,1,0,0,0,1
4/22/2011,0,0,0,3,0,0,0,2,5
4/23/2011,0,0,0,2,4,0,0,0,6
4/24/2011,0,0,0,0,1,0,0,0,1
4/26/2011,0,0,0,0,1,0,0,0,1
4/27/2011,0,0,0,3,2,4,0,0,9
4/28/2011,0,2,0,0,4,1,0,0,7
4/29/2011,0,0,0,3,6,0,0,0,9
4/30/2011,0,0,0,0,4,2,0,0,6
5/1/2011,0,0,0,0,0,0,0,0,0
5/4/2011,0,0,0,1,1,0,0,2,4
5/5/2011,0,0,0,1,3,3,3,6,16
5/6/2011,0,0,0,0,0,0,0,0,0
5/7/2011,0,1,16,0,1,2,0,1,21
5/8/2011,0,0,0,0,1,1,1,1,4
5/13/2011,0,0,0,0,1,1,0,0,2
5/14/2011,0,0,0,0,1,2,0,0,3
5/15/2011,0,0,0,1,2,3,0,0,6
5/18/2011,0,0,2,0,0,0,0,0,2
5/19/2011,0,0,0,0,1,0,0,0,1
5/20/2011,0,0,0,0,1,0,0,0,1
5/22/2011,0,0,0,0,0,0,1,1,2
5/24/2011,0,0,0,1,0,0,0,0,1
5/25/2011,0,0,4,0,0,0,0,0,4
5/26/2011,0,0,0,0,1,0,0,0,1
5/27/2011,0,0,0,0,2,1,0,0,3
5/28/2011,0,0,1,1,1,1,0,1,5
5/31/2011,0,0,0,4,0,1,4,5,14
6/1/2011,0,0,0,5,5,2,1,1,14
6/2/2011,0,0,0,0,1,0,0,0,1
6/3/2011,0,0,0,3,4,5,0,1,13
6/4/2011,0,2,1,3,4,5,5,5,25
6/5/2011,0,1,0,10,5,4,1,0,21
6/7/2011,0,0,0,0,7,9,1,0,17
6/8/2011,0,0,0,5,1,2,0,0,8
6/9/2011,0,0,0,2,1,3,1,1,8
6/10/2011,0,0,0,1,1,1,1,1,5
6/11/2011,0,0,0,2,4,2,3,1,12
6/12/2011,0,0,0,2,5,8,2,2,19
6/14/2011,1,0,0,4,5,9,2,2,23
6/15/2011,0,1,0,2,1,5,0,0,9
6/16/2011,0,0,0,1,2,1,0,0,4
6/17/2011,0,0,0,0,1,2,0,0,3
6/19/2011,1,0,0,4,1,3,3,2,14
6/21/2011,0,0,3,0,3,2,1,1,10
6/22/2011,0,0,0,1,0,1,2,1,5
6/23/2011,0,0,1,0,5,3,0,0,9
6/24/2011,0,0,0,3,3,5,2,2,15
6/25/2011,0,0,1,1,4,2,1,3,12
6/26/2011,0,0,0,4,2,3,2,2,13
6/28/2011,0,3,4,1,4,2,2,1,17
6/29/2011,0,0,0,2,1,0,0,0,3
6/30/2011,0,0,1,1,1,2,1,1,7
7/1/2011,0,0,0,1,4,1,0,0,6
7/2/2011,0,0,0,2,2,4,2,3,13
7/3/2011,2,1,0,0,0,3,1,0,7
7/5/2011,0,1,1,5,2,5,0,2,16
7/6/2011,0,1,0,2,1,3,1,2,10
7/7/2011,0,0,0,7,3,2,2,1,15
7/8/2011,0,0,0,0,4,3,1,1,9
7/9/2011,0,1,0,4,3,7,0,0,15
7/10/2011,0,0,0,5,6,4,2,1,18
7/12/2011,0,3,0,6,3,4,3,3,22
7/13/2011,0,0,0,2,3,3,1,0,9
7/14/2011,0,0,0,6,7,0,0,0,13
7/15/2011,0,0,0,10,9,9,0,0,28
7/16/2011,0,0,0,2,2,3,0,0,7
7/17/2011,0,0,0,4,3,5,1,1,14
7/19/2011,0,0,0,2,9,8,0,0,19
7/20/2011,0,0,0,10,9,7,1,1,28
7/21/2011,0,0,0,7,1,1,0,0,9
7/22/2011,1,2,0,4,2,4,1,2,16
7/23/2011,0,0,0,7,8,10,2,1,28
7/24/2011,0,2,0,15,17,14,2,1,51
7/26/2011,0,0,0,4,8,7,0,0,19
7/27/2011,0,1,1,2,3,6,0,0,13
7/28/2011,0,1,0,2,4,3,0,1,11
7/29/2011,0,0,0,3,7,7,0,0,17
7/30/2011,0,0,0,8,5,4,1,0,18
7/31/2011,0,0,0,2,6,5,0,1,14
8/2/2011,0,0,1,9,4,3,0,0,17
8/3/2011,0,0,1,5,6,4,0,0,16
8/4/2011,0,0,0,3,5,6,0,0,14
8/5/2011,0,0,0,5,10,7,0,0,22
8/6/2011,0,0,0,2,10,4,1,0,17
8/7/2011,0,0,0,13,7,7,3,1,31
8/9/2011,0,3,0,16,15,14,1,1,50
8/10/2011,0,0,0,6,10,4,1,2,23
8/11/2011,0,2,0,4,5,6,0,0,17
8/12/2011,0,2,0,2,3,6,0,0,13
8/13/2011,0,0,0,3,11,7,1,1,23
