NASLOV,PLAN,REALIZACIJA,POSAMEZNIKI,SKUPINE,DOMACI,TUJI,GALERIJA
Obrazi Ljubljane,10000,14590,5637,8953,9640,4950,MESTNI MUZEJ LJUBLJANA
Cankarjeva spominska soba,1000,2384,2384,,2267,117,MESTNI MUZEJ LJUBLJANA
Tobačni muzej,500,2152,2102,50,1628,524,MESTNI MUZEJ LJUBLJANA
KOLO 5200 let,30000,36220,14820,21400,30797,5423,MESTNI MUZEJ LJUBLJANA
Emona:mesto v imperiju,20000,24256,12485,11771,8220,4265,MESTNI MUZEJ LJUBLJANA
Pot po rimski Ljubljani,4500,9098,4990,4108,3044,1962,ARHEOLOŠKI PARKI
Jože Ciuha: Labirint časa,2500,6374,6152,222,6224,150,GALRIJA JAKOPIČ
Koudelka,3000,3569,3277,154,2854,577,GALRIJA JAKOPIČ
Sound Explicit,150,80,80,,80,,GALRIJA JAKOPIČ
"BIO 50: 3, 2, 1 ... TEST",1500,2629,1344,1285,2224,405,GALRIJA JAKOPIČ
MADE IN US,300,505,461,44,455,50,GALERIJA VŽIGALICA
"Jaša, CRYSTAL C: A place where flowers borrow colours [from those who sing]",400,564,564,0,483,81,GALERIJA VŽIGALICA
Hildegard projekt: Haute Sculpture,300,268,268,0,232,36,GALERIJA VŽIGALICA
Eduart: vizualno komuniciranje v facilitaciji,?,102,87,15,102,0,GALERIJA VŽIGALICA
AVA 006,300,622,601,21,423,199,GALERIJA VŽIGALICA
Svetlobna gverila: Svetla prihodnost,1200,1667,1594,73,1410,257,GALERIJA VŽIGALICA
No Pain No Game,300,837,775,62,711,126,GALERIJA VŽIGALICA
Dušan Mandić: Vojak D.M. Die Welt ist Schön,1500,1807,168,1639,1502,305,MESTNA GALERIJA LJUBLJANA
"Rene Rusjan: O čem govorim, ko govorim o",1700,1174,237,937,1013,161,MESTNA GALERIJA LJUBLJANA
"Kozmos, skupinska razstava",2300,1528,223,1305,1207,321,MESTNA GALERIJA LJUBLJANA
net.art Painters and Poets,2500,740,696,44,587,153,MESTNA GALERIJA LJUBLJANA
Rabih Mroué: Nekaj nečesa,1800,1626,1561,65,1063,563,MESTNA GALERIJA LJUBLJANA
Nina Čelhar. Stanja občutljivosti,1000,768,160,608,766,2,BEŽIGRAJSKA GALERIJA 1
"Vlado Stjepić ""Tiha navzočnost""",1000,584,100,484,584,0,BEŽIGRAJSKA GALERIJA 1
"Primož Pugelj ""Anonimus"" Kipi 2012–2014",1000,490,80,410,490,0,BEŽIGRAJSKA GALERIJA 1
Božidar Dolenc (1950–2008),1500,915,771,144,904,11,BEŽIGRAJSKA GALERIJA 1
Od skice do lutke,2500,1789,1647,142,1761,28,BEŽIGRAJSKA GALERIJA 1
"Kostja Gatnik ""Lebdenja""",2000,827,308,519,827,0,BEŽIGRAJSKA GALERIJA 2
"Maja Pučl ""Dnevnice""",1000,477,0,477,477,0,BEŽIGRAJSKA GALERIJA 2
Video festival Narave 11,1000,199,90,109,199,0,BEŽIGRAJSKA GALERIJA 2
O•zvočenje 12,300,220,0,220,220,0,BEŽIGRAJSKA GALERIJA 2
Vinko Tušek (1936–2011),1500,809,784,25,808,1,BEŽIGRAJSKA GALERIJA 2
France Rotar (1933–2001),1500,1226,1171,55,1226,0,BEŽIGRAJSKA GALERIJA 2
Anna Friz,400,174,8,166,146,28,GALERIJA 001
"Jaša, Crystal C",400,522,112,410,467,55,GALERIJA 001
Qëndresë Deda: Tukaj in tam,300,469,0,469,401,68,GALERIJA 001
Razstava Uncharted,400,520,15,505,435,85,GALERIJA 001
Anton Ovidiu,400,256,241,15,219,37,GALERIJA 001
Lee Nevo: Neuradni urad za…..,400,414,399,15,293,121,GALERIJA 001
Miha Štrukelj: Nekje vmes,400,634,606,28,463,171,GALERIJA 001
